year,homicide_type,day
2010,Stabbing,Tuesday
2010,Stabbing,Wednesday
2010,Shooting,Friday
2010,Stabbing,Friday
2010,Shooting,Tuesday
2010,Other,Friday
2010,Shooting,Saturday
2010,Shooting,Tuesday
2010,Stabbing,Wednesday
2010,Shooting,Friday
2010,Shooting,Friday
2010,Shooting,Friday
2010,Stabbing,Saturday
2010,Other,Sunday
2010,Shooting,Saturday
2010,Shooting,Saturday
2010,Shooting,Tuesday
2010,Stabbing,Friday
2010,Other,Sunday
2010,Other,Monday
2010,Shooting,Friday
2010,Shooting,Sunday
2010,Other,Sunday
2010,Stabbing,Saturday
2010,Shooting,Wednesday
2010,Shooting,Wednesday
2010,Shooting,Monday
2010,Shooting,Monday
2010,Shooting,Saturday
2010,Shooting,Saturday
2010,Shooting,Sunday
2010,Shooting,Monday
2010,Stabbing,Wednesday
2010,Shooting,Wednesday
2010,Shooting,Saturday
2010,Shooting,Monday
2010,Shooting,Wednesday
2010,Other,Saturday
2010,Shooting,Monday
2010,Other,Thursday
2010,Shooting,Saturday
2010,Other,Wednesday
2011,Stabbing,Saturday
2011,Shooting,Wednesday
2011,Other,Thursday
2011,Other,Wednesday
2011,Other,Thursday
2011,Other,Sunday
2011,Shooting,Tuesday
2011,Stabbing,Saturday
2011,Shooting,Friday
2011,Shooting,Friday
2011,Shooting,Wednesday
2011,Other,Saturday
2011,Shooting,Saturday
2011,Shooting,Wednesday
2011,Other,Thursday
2011,Shooting,Sunday
2011,Other,Monday
2011,Shooting,Monday
2011,Shooting,Monday
2011,Other,Wednesday
2011,Other,Friday
2011,Shooting,Saturday
2011,Shooting,Thursday
2011,Shooting,Sunday
2011,Shooting,Thursday
2011,Stabbing,Friday
2011,Stabbing,Friday
2011,Other,Friday
2011,Shooting,Friday
2011,Shooting,Sunday
2011,Stabbing,Wednesday
2011,Shooting,Saturday
2011,Shooting,Tuesday
2011,Shooting,Saturday
2011,Other,Sunday
2011,Shooting,Saturday
2011,Shooting,Sunday
2011,Other,Friday
2011,Shooting,Sunday
2011,Shooting,Friday
2011,Shooting,Saturday
2011,Other,Monday
2011,Shooting,Friday
2011,Shooting,Friday
2011,Shooting,Tuesday
2011,Stabbing,Friday
2011,Other,Friday
2011,Stabbing,Saturday
2011,Other,Monday
2011,Shooting,Friday
2011,Stabbing,Saturday
2012,Stabbing,Sunday
2012,Shooting,Sunday
2012,Other,Sunday
2012,Shooting,Saturday
2012,Shooting,Tuesday
2012,Shooting,Friday
2012,Shooting,Monday
2012,Shooting,Monday
2012,Other,Wednesday
2012,Other,Sunday
2012,Stabbing,Friday
2012,Shooting,Thursday
2012,Stabbing,Sunday
2012,Other,Monday
2012,Shooting,Friday
2012,Other,Monday
2012,Shooting,Wednesday
2012,Shooting,Thursday
2012,Other,Monday
2012,Shooting,Thursday
2012,Shooting,Saturday
2012,Shooting,Saturday
2012,Shooting,Monday
2012,Shooting,Friday
2012,Shooting,Saturday
2012,Other,Monday
2012,Other,Tuesday
2012,Shooting,Thursday
2012,Shooting,Monday
2012,Shooting,Monday
2012,Shooting,Tuesday
2012,Shooting,Thursday
2012,Other,Sunday
2012,Shooting,Wednesday
2012,Other,Tuesday
2012,Other,Friday
2012,Shooting,Saturday
2012,Shooting,Saturday
2012,Other,Saturday
2012,Shooting,Sunday
2012,Shooting,Tuesday
2012,Shooting,Tuesday
2012,Shooting,Thursday
2012,Other,Wednesday
2012,Other,Thursday
2012,Stabbing,Tuesday
2012,Shooting,Sunday
2012,Stabbing,Monday
2012,Shooting,Monday
2012,Shooting,Tuesday
2012,Shooting,Sunday
2012,Other,Monday
2012,Other,Wednesday
2012,Stabbing,Saturday
2012,Shooting,Thursday
2012,Shooting,Sunday
2012,Stabbing,Thursday
2013,Stabbing,Tuesday
2013,Shooting,Friday
2013,Other,Saturday
2013,Other,Saturday
2013,Other,Saturday
2013,Other,Wednesday
2013,Other,Wednesday
2013,Shooting,Sunday
2013,Shooting,Monday
2013,Shooting,Sunday
2013,Shooting,Sunday
2013,Stabbing,Monday
2013,Other,Wednesday
2013,Other,Wednesday
2013,Shooting,Thursday
2013,Shooting,Thursday
2013,Shooting,Saturday
2013,Other,Saturday
2013,Shooting,Thursday
